DATE,DEXMXUS,DEXUSEU,DEXCHUS,DEXJPUS,DEXCAUS,DEXUSUK,DEXUSAL,DEXSZUS,DEXUSNZ
2010-01-04,12.911,1.4419,6.8273,92.55,1.0377,1.6109,0.9133,1.0294,0.7327
2010-01-05,12.816,1.4402,6.8258,91.48,1.0371,1.6009,0.9143,1.0322,0.7357
2010-01-06,12.742,1.4404,6.8272,92.53,1.0333,1.6016,0.9189,1.0282,0.7355
2010-01-07,12.759,1.4314,6.828,93.31,1.0351,1.5912,0.9168,1.0341,0.7325
2010-01-08,12.7256,1.4357,6.8274,92.7,1.0345,1.5993,0.9218,1.0296,0.7338
2010-01-11,12.666,1.4536,6.8263,91.9,1.0317,1.6146,0.9295,1.0154,0.7423
2010-01-12,12.7155,1.4523,6.8267,90.95,1.0374,1.6181,0.9242,1.016,0.7416
2010-01-13,12.762,1.4492,6.8295,91.38,1.0319,1.6288,0.9225,1.0194,0.7394
2010-01-14,12.72,1.4478,6.8265,91.03,1.026,1.632,0.9306,1.0206,0.7425
2010-01-15,12.6845,1.4376,6.8269,90.79,1.0287,1.624,0.9234,1.0264,0.738
2010-01-19,12.65,1.4269,6.8268,91.13,1.0325,1.637,0.9232,1.034,0.7381
2010-01-20,12.77,1.4094,6.8258,91.23,1.0477,1.6287,0.9085,1.0453,0.7195
2010-01-21,12.7825,1.4106,6.8268,90.25,1.0483,1.6214,0.9053,1.0426,0.7142
2010-01-22,12.9295,1.4154,6.827,90.07,1.0561,1.612,0.905,1.04,0.713
2010-01-25,12.9101,1.4146,6.8268,90.12,1.0582,1.6236,0.903,1.0403,0.7143
2010-01-26,12.9525,1.4063,6.8263,89.63,1.0669,1.6109,0.8949,1.0466,0.704
2010-01-27,12.9275,1.4053,6.8268,89.41,1.0657,1.6204,0.8967,1.0472,0.707
2010-01-28,12.9293,1.3993,6.8267,90.08,1.0584,1.6242,0.9024,1.0517,0.7119
2010-01-29,13.0285,1.387,6.8268,90.38,1.0652,1.6009,0.8873,1.0557,0.7046
2010-02-01,12.94,1.3904,6.826,90.8,1.0651,1.5924,0.8877,1.0586,0.7066
2010-02-02,12.862,1.3955,6.827,90.39,1.0607,1.5968,0.8843,1.0557,0.7116
2010-02-03,12.97,1.3907,6.826,91.11,1.0608,1.5915,0.8818,1.059,0.7079
2010-02-04,13.089,1.3759,6.828,89.11,1.0735,1.5763,0.8646,1.0655,0.6873
2010-02-05,13.194,1.3608,6.8275,89.25,1.0727,1.5619,0.8617,1.0779,0.684
2010-02-08,13.1436,1.3699,6.8265,89.32,1.0692,1.565,0.8693,1.0696,0.6878
2010-02-09,13.068,1.3795,6.8267,89.45,1.069,1.5679,0.8772,1.0641,0.694
2010-02-10,13.052,1.3722,6.828,89.88,1.0667,1.5606,0.874,1.0682,0.6922
2010-02-11,13.0415,1.364,6.8328,89.82,1.0522,1.5674,0.8886,1.0747,0.7
2010-02-12,12.982,1.3625,6.8326,90.0,1.0529,1.5669,0.8839,1.0767,0.695
2010-02-16,12.851,1.3742,6.8326,90.46,1.0427,1.5732,0.8994,1.0681,0.7049
2010-02-17,12.8771,1.3623,6.8326,90.79,1.0455,1.5704,0.8994,1.0768,0.7042
2010-02-18,12.8455,1.3563,6.833,91.43,1.045,1.5582,0.8971,1.0806,0.7016
2010-02-19,12.8235,1.3538,6.829,91.94,1.0419,1.5437,0.8954,1.0824,0.6959
2010-02-22,12.7987,1.359,6.8264,91.11,1.0428,1.5477,0.8994,1.0773,0.701
2010-02-23,12.8535,1.3537,6.8267,90.04,1.0517,1.5464,0.8935,1.0818,0.695
2010-02-24,12.85,1.3576,6.8269,90.06,1.0551,1.5432,0.8941,1.0779,0.6935
2010-02-25,12.8535,1.3476,6.8267,88.85,1.0675,1.5201,0.8811,1.0858,0.6861
2010-02-26,12.7575,1.366,6.8258,88.84,1.052,1.5239,0.8961,1.0711,0.7
2010-03-01,12.7411,1.3516,6.8263,89.28,1.0421,1.4974,0.9001,1.0827,0.6991
2010-03-02,12.7176,1.3564,6.8265,88.95,1.0325,1.494,0.9043,1.079,0.6962
2010-03-03,12.6865,1.3731,6.8258,88.43,1.0286,1.5124,0.9077,1.0652,0.6949
2010-03-04,12.7175,1.3571,6.8258,89.02,1.0307,1.5031,0.8997,1.078,0.6875
2010-03-05,12.6585,1.3608,6.826,90.32,1.0284,1.5115,0.9065,1.0751,0.6952
2010-03-08,12.665,1.3613,6.8261,90.3,1.0286,1.506,0.9084,1.0744,0.6988
2010-03-09,12.6275,1.3586,6.8263,89.89,1.0249,1.5003,0.9138,1.0765,0.7027
2010-03-10,12.5951,1.3658,6.8259,90.62,1.0241,1.4977,0.917,1.0702,0.7079
2010-03-11,12.6125,1.3674,6.8266,90.6,1.0262,1.5052,0.915,1.0689,0.6996
2010-03-12,12.5457,1.3753,6.8254,90.46,1.0187,1.5188,0.9152,1.0599,0.7006
2010-03-15,12.564,1.3652,6.8259,90.45,1.0216,1.5043,0.9117,1.0635,0.6999
2010-03-16,12.5201,1.3758,6.8257,90.43,1.0147,1.5192,0.9148,1.0556,0.7073
2010-03-17,12.4825,1.3739,6.8259,90.42,1.011,1.5296,0.9225,1.0551,0.716
2010-03-18,12.471,1.3603,6.8261,90.46,1.0139,1.5247,0.9201,1.063,0.7135
2010-03-19,12.56,1.353,6.8265,90.5,1.0153,1.5014,0.9164,1.0615,0.7091
2010-03-22,12.6135,1.3531,6.8266,90.02,1.0193,1.5071,0.9154,1.058,0.7054
2010-03-23,12.527,1.3535,6.8263,90.24,1.0176,1.5067,0.9186,1.0561,0.7067
2010-03-24,12.537,1.3347,6.8266,91.89,1.0268,1.4914,0.909,1.0692,0.7023
2010-03-25,12.49,1.3344,6.827,92.69,1.0188,1.4884,0.9119,1.0697,0.7085
2010-03-26,12.5407,1.3398,6.8269,92.56,1.0283,1.4906,0.9042,1.0662,0.7036
2010-03-29,12.4615,1.3465,6.8264,92.65,1.0201,1.4969,0.9152,1.0634,0.7088
2010-03-30,12.4125,1.3409,6.8258,92.89,1.0189,1.509,0.9183,1.0671,0.7094
2010-03-31,12.3005,1.3526,6.8258,93.4,1.0156,1.5186,0.9169,1.0528,0.7098
2010-04-01,12.2995,1.3569,6.8263,93.83,1.0073,1.529,0.9212,1.0559,0.7079
2010-04-02,12.2873,1.3487,6.8255,94.51,1.011,1.5197,0.9187,1.0632,0.706
2010-04-05,12.2725,1.3486,6.8256,94.28,1.0025,1.5284,0.921,1.0619,0.7048
2010-04-06,12.2444,1.3378,6.825,93.81,1.0001,1.523,0.9254,1.0704,0.701
2010-04-07,12.229,1.3364,6.8254,93.59,1.0028,1.5246,0.9287,1.0716,0.7079
2010-04-08,12.2355,1.336,6.824,93.16,1.0019,1.5272,0.9283,1.0723,0.7068
2010-04-09,12.188,1.3468,6.8229,93.28,1.0055,1.5371,0.9326,1.0672,0.716
2010-04-12,12.1685,1.3587,6.8252,93.21,1.0015,1.5368,0.9297,1.0598,0.7134
2010-04-13,12.1876,1.3592,6.8255,92.78,1.0029,1.5416,0.9274,1.0573,0.7132
2010-04-14,12.1901,1.3666,6.8258,93.01,0.996,1.5484,0.9359,1.0512,0.7148
2010-04-15,12.198,1.354,6.826,93.04,1.0013,1.5465,0.9322,1.0595,0.7107
2010-04-16,12.2698,1.3487,6.8253,92.03,1.0145,1.5395,0.9252,1.0624,0.7079
2010-04-19,12.3347,1.3458,6.8262,92.18,1.0199,1.5263,0.9185,1.065,0.707
2010-04-20,12.222,1.3446,6.8253,93.28,0.9984,1.5375,0.9312,1.0673,0.7116
2010-04-21,12.1797,1.3383,6.8275,93.24,0.9983,1.5397,0.9278,1.0708,0.7091
2010-04-22,12.2636,1.3298,6.8263,93.01,1.0014,1.5368,0.9246,1.0778,0.7094
2010-04-23,12.2016,1.336,6.827,94.18,1.0026,1.5363,0.9229,1.0743,0.7146
2010-04-26,12.1556,1.3336,6.8266,94.06,1.0009,1.5466,0.9273,1.0753,0.7238
2010-04-27,12.2684,1.323,6.8256,93.01,1.0169,1.5285,0.917,1.0837,0.711
2010-04-28,12.4135,1.313,6.8245,94.07,1.0125,1.516,0.922,1.091,0.7167
2010-04-29,12.2335,1.3243,6.8259,94.16,1.0052,1.5303,0.9277,1.0824,0.723
2010-04-30,12.2281,1.3302,6.8247,94.24,1.0112,1.5308,0.9306,1.0767,0.732
2010-05-03,12.2656,1.3183,6.8245,94.68,1.0134,1.5242,0.9255,1.0868,0.7307
2010-05-04,12.4165,1.3037,6.826,94.58,1.0215,1.5135,0.9125,1.0987,0.7232
2010-05-05,12.627,1.289,6.8263,94.3,1.0264,1.5134,0.9095,1.1118,0.7181
2010-05-06,12.8531,1.2689,6.8265,92.22,1.0437,1.4889,0.8939,1.1092,0.7143
2010-05-07,12.8328,1.2721,6.8254,91.67,1.0423,1.4739,0.889,1.1085,0.715
2010-05-10,12.5125,1.2861,6.8263,93.39,1.0245,1.498,0.9016,1.1069,0.7221
2010-05-11,12.5025,1.2715,6.8285,92.83,1.0193,1.4952,0.899,1.1059,0.7208
2010-05-12,12.4381,1.2642,6.827,92.93,1.0197,1.4855,0.8926,1.1101,0.7134
2010-05-13,12.358,1.2568,6.8278,92.7,1.0148,1.4659,0.8998,1.1146,0.7176
2010-05-14,12.582,1.239,6.8263,91.94,1.0343,1.4557,0.8886,1.1304,0.7113
2010-05-17,12.7223,1.2299,6.8274,92.08,1.04,1.4388,0.8735,1.1392,0.694
2010-05-18,12.597,1.2358,6.8273,92.52,1.0329,1.4439,0.8727,1.1342,0.6979
2010-05-19,12.9305,1.2317,6.8269,91.16,1.051,1.4349,0.838,1.1564,0.6707
2010-05-20,13.1207,1.237,6.8277,90.07,1.0656,1.4344,0.825,1.15,0.6699
2010-05-21,12.9701,1.2575,6.8262,90.21,1.0564,1.4466,0.8302,1.1485,0.6803
2010-05-24,12.9524,1.2406,6.8286,90.49,1.0587,1.4437,0.8324,1.1561,0.6752
2010-05-25,13.1398,1.2279,6.831,89.89,1.0776,1.4352,0.8172,1.1593,0.6657
